timestamp,canonical_id,store,raw_title,price
2026-08-24,PROD_001,Store_A,Apple iPhone 15 (128 GB) - Black,79322.66
2026-08-25,PROD_001,Store_A,Apple iPhone 15 (128 GB) - Black,81595.63
2026-08-26,PROD_001,Store_A,Apple iPhone 15 (128 GB) - Black,80451.92
2026-08-27,PROD_001,Store_A,Apple iPhone 15 (128 GB) - Black,81714.46
2026-08-28,PROD_001,Store_A,Apple iPhone 15 (128 GB) - Black,82996.36
2026-08-29,PROD_001,Store_A,Apple iPhone 15 (128 GB) - Black,82899.69
2026-08-30,PROD_001,Store_A,Apple iPhone 15 (128 GB) - Black,81844.0
2026-08-31,PROD_001,Store_A,Apple iPhone 15 (128 GB) - Black,81872.7
2026-09-01,PROD_001,Store_A,Apple iPhone 15 (128 GB) - Black,83843.65
2026-09-02,PROD_001,Store_A,Apple iPhone 15 (128 GB) - Black,82493.73
2026-09-03,PROD_001,Store_A,Apple iPhone 15 (128 GB) - Black,79398.35
2026-09-04,PROD_001,Store_A,Apple iPhone 15 (128 GB) - Black,78296.75
2026-09-05,PROD_001,Store_A,Apple iPhone 15 (128 GB) - Black,75528.98
2026-09-06,PROD_001,Store_A,Apple iPhone 15 (128 GB) - Black,74727.02
2026-09-07,PROD_001,Store_A,Apple iPhone 15 (128 GB) - Black,72435.97
2026-09-08,PROD_001,Store_A,Apple iPhone 15 (128 GB) - Black,71896.36
2026-09-09,PROD_001,Store_A,Apple iPhone 15 (128 GB) - Black,72368.85
2026-09-10,PROD_001,Store_A,Apple iPhone 15 (128 GB) - Black,72925.0
2026-09-11,PROD_001,Store_A,Apple iPhone 15 (128 GB) - Black,72927.83
2026-09-12,PROD_001,Store_A,Apple iPhone 15 (128 GB) - Black,70378.93
2026-09-13,PROD_001,Store_A,Apple iPhone 15 (128 GB) - Black,69756.61
2026-09-14,PROD_001,Store_A,Apple iPhone 15 (128 GB) - Black,70975.38
2026-09-15,PROD_001,Store_A,Apple iPhone 15 (128 GB) - Black,70823.31
2026-09-16,PROD_001,Store_A,Apple iPhone 15 (128 GB) - Black,71618.99
2026-09-17,PROD_001,Store_A,Apple iPhone 15 (128 GB) - Black,73045.96
2026-09-18,PROD_001,Store_A,Apple iPhone 15 (128 GB) - Black,72645.99
2026-09-19,PROD_001,Store_A,Apple iPhone 15 (128 GB) - Black,71537.03
2026-09-20,PROD_001,Store_A,Apple iPhone 15 (128 GB) - Black,71304.83
2026-09-21,PROD_001,Store_A,Apple iPhone 15 (128 GB) - Black,70788.29
2026-09-22,PROD_001,Store_A,Apple iPhone 15 (128 GB) - Black,71752.98
2026-09-23,PROD_001,Store_A,Apple iPhone 15 (128 GB) - Black,73395.09
2026-08-24,UNKNOWN,Store_A,Sony WH1000XM5 Noise Cancelling Over-Ear Headphones,30142.38
2026-08-25,UNKNOWN,Store_A,Sony WH1000XM5 Noise Cancelling Over-Ear Headphones,29608.81
2026-08-26,UNKNOWN,Store_A,Sony WH1000XM5 Noise Cancelling Over-Ear Headphones,30416.88
2026-08-27,UNKNOWN,Store_A,Sony WH1000XM5 Noise Cancelling Over-Ear Headphones,29620.24
2026-08-28,UNKNOWN,Store_A,Sony WH1000XM5 Noise Cancelling Over-Ear Headphones,29235.45
2026-08-29,UNKNOWN,Store_A,Sony WH1000XM5 Noise Cancelling Over-Ear Headphones,28827.09
2026-08-30,UNKNOWN,Store_A,Sony WH1000XM5 Noise Cancelling Over-Ear Headphones,27985.79
